Cancer;Loss;Accuracy;Precision;Recall;AUC;F1 Score
Breast Cancer;8.576206966814937e-10;1.0;1.0;1.0;1.0;0.9999999500000026
Cervical Cancer;3.257853677496314e-05;1.0;1.0;1.0;1.0;0.9999999500000026
Hepatobiliary Cancer;0.00029187052859924734;1.0;1.0;1.0;1.0;0.9999999500000026
Colorectal Cancer;0.011219210922718048;0.9898989796638489;0.9898989796638489;0.9898989796638489;0.9999946355819702;0.9898989296638514
Adrenocortical Carcinoma;0.0004544911498669535;1.0;1.0;1.0;1.0;0.9999999500000026
Bladder Cancer;2.3040445995547998e-08;1.0;1.0;1.0;1.0;0.9999999500000026
Esophagogastric Cancer;4.710477242042543e-06;1.0;1.0;1.0;1.0;0.9999999500000026
Glioma;1.1913303978872136e-06;1.0;1.0;1.0;1.0;0.9999999500000026
Head and Neck Cancer;0.002145813312381506;1.0;1.0;1.0;1.0;0.9999999500000026
Renal Cell Carcinoma;8.738098244975845e-08;1.0;1.0;1.0;1.0;0.9999999500000026
Leukemia;3.457005050222506e-06;1.0;1.0;1.0;1.0;0.9999999500000026
Non-Hodgkin Lymphoma;0.000198637368157506;1.0;1.0;1.0;1.0;0.9999999500000026
Non-Small Cell Lung Cancer;5.328675251803361e-05;1.0;1.0;1.0;1.0;0.9999999500000026
Mesothelioma;2.9936860300949775e-05;1.0;1.0;1.0;1.0;0.9999999500000026
Pancreatic Cancer;7.241743787744781e-06;1.0;1.0;1.0;1.0;0.9999999500000026
Prostate Cancer;0.001676588668487966;1.0;1.0;1.0;1.0;0.9999999500000026
Soft Tissue Sarcoma;7.132994142011739e-07;1.0;1.0;1.0;1.0;0.9999999500000026
Melanoma;1.5588867654514615e-06;1.0;1.0;1.0;1.0;0.9999999500000026
Thymic Tumor;1.0837206687597245e-08;1.0;1.0;1.0;1.0;0.9999999500000026
Endometrial Cancer;3.1152785595622845e-06;1.0;1.0;1.0;1.0;0.9999999500000026
