Cancer;Loss;Accuracy;Precision;Recall;AUC;F1 Score
Breast Cancer;2.8307812213897705;0.9637681245803833;0.9637681245803833;0.9637681245803833;0.988787829875946;0.9637680745803858
Cervical Cancer;65.42642974853516;0.7368420958518982;0.7368420958518982;0.7368420958518982;0.907634973526001;0.7368420458519016
Hepatobiliary Cancer;8.147261619567871;0.970588207244873;0.970588207244873;0.970588207244873;0.9850327372550964;0.9705881572448756
Colorectal Cancer;5.642643928527832;0.9539473652839661;0.9539473652839661;0.9539473652839661;0.9862916469573975;0.9539473152839687
Adrenocortical Carcinoma;4.279511451721191;1.0;1.0;1.0;0.9999999403953552;0.9999999500000026
Bladder Cancer;33.1961555480957;0.8039215803146362;0.8163265585899353;0.7843137383460999;0.9470492005348206;0.7999999701425311
Esophagogastric Cancer;2.8322319984436035;0.9599999785423279;0.9599999785423279;0.9599999785423279;0.9929031133651733;0.9599999285423304
Glioma;0.11076874285936356;0.9942528605461121;0.9942528605461121;0.9942528605461121;0.9999986886978149;0.9942528105461146
Head and Neck Cancer;9.613329887390137;0.9160305261611938;0.9160305261611938;0.9160305261611938;0.9794382452964783;0.9160304761611966
Renal Cell Carcinoma;2.562106132507324;0.9775784611701965;0.9775784611701965;0.9775784611701965;0.9907264709472656;0.9775784111701991
Leukemia;0.27516043186187744;1.0;1.0;1.0;1.0;0.9999999500000026
Non-Hodgkin Lymphoma;47.046783447265625;0.9166666865348816;0.9166666865348816;0.9166666865348816;0.9991666674613953;0.9166666365348843
Non-Small Cell Lung Cancer;3.38978910446167;0.9448819160461426;0.9521912336349487;0.9409449100494385;0.987511932849884;0.9465346170107658
Mesothelioma;291.0004577636719;0.8181818127632141;0.8181818127632141;0.8181818127632141;0.9045455455780029;0.8181817627632172
Ovarian Epithelial Tumor;2.465907096862793;0.9866666793823242;0.9866666793823242;0.9866666793823242;0.9999111890792847;0.9866666293823267
Pancreatic Cancer;59.05281066894531;0.8444444537162781;0.8444444537162781;0.8444444537162781;0.9297975301742554;0.844444403716281
Pheochromocytoma;114.55182647705078;0.7567567825317383;0.7567567825317383;0.7567567825317383;0.9142439365386963;0.7567567325317416
Miscellaneous Neuroepithelial Tumor;1271.50439453125;0.25;0.25;0.25;0.909375011920929;0.24999995000001002
Prostate Cancer;1.0359761714935303;0.975806474685669;0.975806474685669;0.975806474685669;0.9999687671661377;0.9758064246856715
Soft Tissue Sarcoma;24.898895263671875;0.8571428656578064;0.8571428656578064;0.8571428656578064;0.9740992784500122;0.8571428156578093
Nerve Sheath Tumor;14696.91796875;0.0;0.0;0.0;0.46000000834465027;0.0
Melanoma;61.59988784790039;0.9615384340286255;0.9615384340286255;0.9615384340286255;0.9798815846443176;0.961538384028628
Thyroid Cancer;2.4863150119781494;0.9920634627342224;0.9920634627342224;0.9920634627342224;0.9958730340003967;0.9920634127342249
Thymic Tumor;36.90008544921875;0.8666666746139526;0.8666666746139526;0.8666666746139526;0.9986666440963745;0.8666666246139555
Endometrial Cancer;6.046485424041748;0.9251700639724731;0.931506872177124;0.9251700639724731;0.989215612411499;0.9283276043636817
Ocular Melanoma;0.03659483417868614;1.0;1.0;1.0;1.0;0.9999999500000026
