Cancer;Loss;Accuracy;Precision;Recall;AUC;F1 Score
Breast Cancer;12.119891166687012;0.7777777910232544;0.786821722984314;0.7777777910232544;0.9456045031547546;0.7822735684618294
Cervical Cancer;168.99298095703125;0.5;0.5;0.5;0.7817563414573669;0.49999995000000497
Hepatobiliary Cancer;44.5171012878418;0.7142857313156128;0.7291666865348816;0.7142857313156128;0.9226515889167786;0.7216494529631565
Colorectal Cancer;50.364501953125;0.6783216595649719;0.6928571462631226;0.6783216595649719;0.8657563924789429;0.6855123095856223
Adrenocortical Carcinoma;761.5746459960938;0.4736842215061188;0.5;0.4736842215061188;0.7672553658485413;0.48648644231367766
Bladder Cancer;125.0770492553711;0.4699999988079071;0.4693877696990967;0.46000000834465027;0.7749541401863098;0.4646464260604394
Esophagogastric Cancer;63.9453239440918;0.4897959232330322;0.4965517222881317;0.4897959232330322;0.8234581351280212;0.4931506364878678
Glioma;18.990734100341797;0.8092105388641357;0.8255033493041992;0.8092105388641357;0.9534487724304199;0.8172757007763634
Head and Neck Cancer;89.2187271118164;0.42741936445236206;0.4416666626930237;0.42741936445236206;0.7953886389732361;0.4344261825651447
Renal Cell Carcinoma;16.283201217651367;0.7952380776405334;0.813725471496582;0.7904762029647827;0.9331194162368774;0.8019323145061601
Leukemia;197.7855682373047;0.5757575631141663;0.6551724076271057;0.5757575631141663;0.8474518060684204;0.6129031661528256
Non-Hodgkin Lymphoma;1057.3533935546875;0.4166666567325592;0.4545454680919647;0.4166666567325592;0.7669270634651184;0.434782559578895
Non-Small Cell Lung Cancer;27.249027252197266;0.6229507923126221;0.6229507923126221;0.6229507923126221;0.8744508624076843;0.622950742312626
Mesothelioma;578.86767578125;0.3684210479259491;0.3888888955116272;0.3684210479259491;0.7485572695732117;0.3783783290679903
Ovarian Epithelial Tumor;179.88345336914062;0.5400000214576721;0.5510203838348389;0.5400000214576721;0.8452416658401489;0.5454544944866128
Pancreatic Cancer;421.40576171875;0.22499999403953552;0.23076923191547394;0.22499999403953552;0.6764453053474426;0.2278480487763906
Pheochromocytoma;341.7705078125;0.42307692766189575;0.4399999976158142;0.42307692766189575;0.7857186794281006;0.43137250027630364
Miscellaneous Neuroepithelial Tumor;2601.0859375;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.6858332753181458;0.3999999559604708
Prostate Cancer;31.513288497924805;0.752136766910553;0.7631579041481018;0.7435897588729858;0.9336860775947571;0.7532467156807826
Soft Tissue Sarcoma;157.61572265625;0.517241358757019;0.5357142686843872;0.517241358757019;0.8212198615074158;0.5263157206298678
Nerve Sheath Tumor;17721.845703125;0.0;0.0;0.0;0.4791666567325592;0.0
Thyroid Cancer;32.488224029541016;0.8837209343910217;0.8837209343910217;0.8837209343910217;0.951553225517273;0.8837208843910245
Thymic Tumor;447.9216003417969;0.2222222238779068;0.21739129722118378;0.18518517911434174;0.7339677214622498;0.19999994376350141
Endometrial Cancer;62.2135124206543;0.5106382966041565;0.5107913613319397;0.5035461187362671;0.8306391835212708;0.5071428142599569
Ocular Melanoma;1059.5789794921875;0.3076923191547394;0.3076923191547394;0.3076923191547394;0.7439595460891724;0.3076922691547475
