Cancer;Loss;Accuracy;Precision;Recall;AUC;F1 Score
Breast Cancer;1.9564447402954102;0.9528985619544983;0.959854006767273;0.9528985619544983;0.9923412203788757;0.9563635881329324
Cervical Cancer;64.68510437011719;0.5921052694320679;0.5921052694320679;0.5921052694320679;0.9150623679161072;0.5921052194320721
Hepatobiliary Cancer;5.552056789398193;0.9607843160629272;0.9800000190734863;0.9607843160629272;0.9946865439414978;0.970296990248682
Colorectal Cancer;4.462397575378418;0.9539473652839661;0.95333331823349;0.9407894611358643;0.9925432801246643;0.9470198037440606
Adrenocortical Carcinoma;80.5475082397461;0.8500000238418579;0.8947368264198303;0.8500000238418579;0.9946499466896057;0.8717948269221613
Bladder Cancer;43.19229507446289;0.6078431606292725;0.6451612710952759;0.5882353186607361;0.9318762421607971;0.6153845701748533
Esophagogastric Cancer;3.704190254211426;0.95333331823349;0.9597315192222595;0.95333331823349;0.9930862784385681;0.9565216694110138
Glioma;0.880094051361084;0.982758641242981;0.9941520690917969;0.977011501789093;0.9999240040779114;0.9855072111754667
Head and Neck Cancer;0.6784713268280029;0.9847328066825867;0.9846153855323792;0.9770992398262024;0.9999766945838928;0.9808428639378386
Renal Cell Carcinoma;2.986293077468872;0.9596412777900696;0.9596412777900696;0.9596412777900696;0.9929048418998718;0.9596412277900721
Leukemia;0.5046253800392151;1.0;1.0;1.0;1.0;0.9999999500000026
Non-Hodgkin Lymphoma;7.162045955657959;1.0;1.0;1.0;1.0;0.9999999500000026
Non-Small Cell Lung Cancer;11.028600692749023;0.7401574850082397;0.7644628286361694;0.7283464670181274;0.9489516019821167;0.7459677062921968
Mesothelioma;144.336669921875;0.7727272510528564;0.8421052694320679;0.7272727489471436;0.9492563009262085;0.780487770321709
Ovarian Epithelial Tumor;6.465819358825684;0.9333333373069763;0.9459459185600281;0.9333333373069763;0.9989759922027588;0.9395972539422982
Pancreatic Cancer;18.226472854614258;0.8888888955116272;0.9090909361839294;0.8888888955116272;0.9981135725975037;0.8988763711307014
Pheochromocytoma;28.049184799194336;0.7567567825317383;0.7567567825317383;0.7567567825317383;0.9962454438209534;0.7567567325317416
Miscellaneous Neuroepithelial Tumor;751.5203857421875;0.5;0.5;0.5;0.9237499833106995;0.49999995000000497
Prostate Cancer;0.3734850287437439;0.9838709831237793;0.9918699264526367;0.9838709831237793;0.9999896287918091;0.9878542126116884
Soft Tissue Sarcoma;9.999917984008789;0.8730158805847168;0.9016393423080444;0.8730158805847168;0.9988057613372803;0.8870967271681836
Nerve Sheath Tumor;1046.421142578125;0.5;0.5;0.5;0.9900000095367432;0.49999995000000497
Melanoma;62.07522964477539;0.9230769276618958;0.9230769276618958;0.9230769276618958;0.9797040820121765;0.9230768776618984
Thyroid Cancer;2.5558905601501465;0.9841269850730896;0.9841269850730896;0.9841269850730896;0.9958680272102356;0.9841269350730921
Thymic Tumor;36.7997932434082;0.8333333134651184;0.8333333134651184;0.8333333134651184;0.9974222779273987;0.8333332634651214
Endometrial Cancer;7.090609550476074;0.918367326259613;0.9300699234008789;0.9047619104385376;0.9850460290908813;0.9172413289938417
Ocular Melanoma;0.0292031429708004;1.0;1.0;1.0;1.0;0.9999999500000026
