Cancer;Loss;Accuracy;Precision;Recall;AUC;F1 Score
Breast Cancer;31.591934204101562;0.5555555820465088;0.5737704634666443;0.5555555820465088;0.8492048978805542;0.5645160790065036
Cervical Cancer;151.16030883789062;0.19607843458652496;0.21276596188545227;0.19607843458652496;0.7335028648376465;0.20408158651907
Hepatobiliary Cancer;13.84850788116455;0.8533333539962769;0.8857142925262451;0.8266666531562805;0.9711838960647583;0.855172359798593
Colorectal Cancer;34.23503494262695;0.5849056839942932;0.6161616444587708;0.5754716992378235;0.872038722038269;0.5951219150780097
Adrenocortical Carcinoma;513.2420654296875;0.5333333611488342;0.5333333611488342;0.5333333611488342;0.7882828116416931;0.5333333111488389
Bladder Cancer;59.172786712646484;0.5301204919815063;0.5641025900840759;0.5301204919815063;0.8384413123130798;0.5465838185202865
Esophagogastric Cancer;45.995784759521484;0.41322314739227295;0.429824560880661;0.40495866537094116;0.8027565479278564;0.41702121986423485
Glioma;46.87974548339844;0.6349206566810608;0.6451612710952759;0.6349206566810608;0.9053117036819458;0.6399999515977467
Head and Neck Cancer;68.54584503173828;0.375;0.38461539149284363;0.3645833432674408;0.793812096118927;0.3743315093314129
Renal Cell Carcinoma;17.492578506469727;0.7068965435028076;0.7117117047309875;0.681034505367279;0.9394727349281311;0.696035200784517
Leukemia;1588.5045166015625;0.0;0.0;0.0;0.5691093802452087;0.0
Non-Hodgkin Lymphoma;1073.448486328125;0.30000001192092896;0.3333333432674408;0.30000001192092896;0.6890908479690552;0.31578943488508043
Non-Small Cell Lung Cancer;16.026098251342773;0.620192289352417;0.6349999904632568;0.6105769276618958;0.890936017036438;0.6225489674271296
Mesothelioma;1554.0220947265625;0.1428571492433548;0.1428571492433548;0.1428571492433548;0.584879457950592;0.1428570992433723
Ovarian Epithelial Tumor;207.33230590820312;0.5333333611488342;0.5517241358757019;0.5333333611488342;0.8127273321151733;0.5423728447603696
Pancreatic Cancer;309.3599548339844;0.22727273404598236;0.25;0.22727273404598236;0.7823065519332886;0.23809519192547005
Pheochromocytoma;511.1415710449219;0.375;0.375;0.375;0.8426846861839294;0.3749999500000067
Prostate Cancer;85.95313262939453;0.5909090638160706;0.6341463327407837;0.5909090638160706;0.8766083717346191;0.611764637366141
Soft Tissue Sarcoma;265.472900390625;0.2857142984867096;0.29629629850387573;0.2857142984867096;0.7492753267288208;0.29090904861019407
Thyroid Cancer;10.59317398071289;0.9200000166893005;0.9130434989929199;0.8399999737739563;0.9991273283958435;0.8749999453784548
Thymic Tumor;1194.250244140625;0.1428571492433548;0.1666666716337204;0.1428571492433548;0.647495448589325;0.15384610996141623
Endometrial Cancer;44.794368743896484;0.44897958636283875;0.4615384638309479;0.4285714328289032;0.8573203086853027;0.44444439786528744
Ocular Melanoma;1867.1802978515625;0.3333333432674408;0.3333333432674408;0.3333333432674408;0.7954545617103577;0.3333332932674483
